district name;district id;Число избирателей, включенных в список избирателей ;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней в переносных ящиках для голосования;Число бюллетеней в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении ;Бабурин Сергей Николаевич;Грудинин Павел Николаевич;Жириновский Владимир Вольфович;Путин Владимир Владимирович;Собчак Ксения Анатольевна;Сурайкин Максим Александрович;Титов Борис Юрьевич;Явлинский Григорий Алексеевич
Кемеровская область;100100084849167;2005066;1945218;591;1535544;132628;276445;133177;1532543;10657;1655063;10;0;7972;101153;83777;1422919;14002;7556;7213;10471
Кировская область;100100084849168;1055239;1005278;96;601182;60583;343417;60679;601078;7455;654302;0;0;5157;90650;63771;465948;11034;5655;5784;6303
Костромская область;100100084849169;532700;481521;0;299038;23308;159175;23307;298970;3048;319229;0;0;2665;52135;29834;221449;4852;2309;2879;3106
Курганская область;100100084849170;704338;687678;0;400315;34521;252842;34517;400269;3873;430913;0;0;2682;59425;38002;318703;4590;3020;2178;2313
Курская область;100100084849171;923309;827179;0;526134;69220;231825;69213;526060;5207;590066;0;0;3421;56948;33326;482257;5631;3316;2640;2527
Ленинградская область;100100084849172;1331507;1233933;55;826203;64370;343305;64423;825903;10539;879787;0;0;6136;78545;48465;703423;18715;5655;8129;10719
Липецкая область;100100084849173;929445;862478;0;592601;78115;191757;78112;592529;6225;664416;5;0;3834;67299;33739;542079;6715;3997;3259;3494
Магаданская область;100100084849174;102626;107633;2417;68365;3018;33833;5434;68345;1108;72671;0;0;417;10364;6185;53341;1007;408;458;491
Московская область;100100084849175;5829578;5210945;0;3540550;167006;1503019;166859;3536654;48175;3655338;378;8;26448;476897;203869;2758911;78893;24523;36133;49664
Мурманская область;100100084849176;599851;560390;1096;387283;9670;162339;10763;387044;4915;392892;2;0;2827;35240;31434;303796;8931;2578;3426;4660
Нижегородская область;100100084849177;2618865;2458513;403;1595437;132168;730505;132480;1594498;15107;1711871;0;0;12037;183465;111744;1334417;27728;12320;14053;16107
Новгородская область;100100084849178;502905;479754;0;266259;21925;191569;21925;266137;3448;284614;1;0;2345;36661;22000;209286;5303;2420;2456;4143
Новосибирская область;100100084849179;2159912;2041894;0;1240320;64418;737149;64418;1239841;16625;1287634;9;2;8473;213707;85790;926858;21067;8005;9080;14654
Омская область;100100084849180;1535403;1500429;0;877614;51132;571681;51130;877350;12487;915993;2;0;10496;189303;57901;624934;14282;5653;5832;7592
Оренбургская область;100100084849181;1518357;1463314;381;934617;68462;459846;68784;934198;10938;992044;8;0;6137;155156;67777;731838;11539;7846;6003;5748
Орловская область;100100084849182;631300;620855;0;400548;55088;165218;55085;400486;4670;450901;1;0;3210;55482;27617;349743;5777;3187;3187;2698
Пензенская область;100100084849183;1061806;1037724;0;678998;104043;254676;104036;678602;6740;775898;8;1;4616;78135;43823;625928;9048;5614;4037;4697
Псковская область;100100084849184;527477;503638;0;299495;45141;159002;45139;299422;3165;341396;0;0;2952;39407;23688;258584;5794;2782;2656;5533
Ростовская область;100100084849185;3210796;2930263;0;1920477;159301;850461;159294;1918992;18200;2060086;26;2;11741;236287;106905;1641189;23036;14121;13046;13761
Рязанская область;100100084849186;922884;887160;0;536440;64715;286004;64714;536362;5756;595320;1;0;4094;76023;37091;458882;7777;3731;3654;4068
