name;Число избирателей, внесенных в список избирателей на момент окончания голосования;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении;Грунин Евгений Анатольевич;Гукасян Сергей Георгиевич;Михайлов Андрей Павлович;Резник Владислав Матусович;Салов Евгений Иванович;Цикуниб Русланбек Джахфарович
Республика Адыгея (Адыгея) – Адыгейский;341490;335439;0;191468;41185;102732;40989;190790;4914;226865;54;0;12356;10468;14349;150217;29366;10109
Республика Алтай – Алтайский;160526;154203;605;68289;4720;80589;5325;68284;2211;71398;0;0;2753;21967;2490;23545;3824;1654;1944;11843;1378
Республика Башкортостан – Уфимский;500702;470500;0;327850;45443;97207;45412;327423;4301;368534;0;0;33888;9517;3085;247015;3204;3144;9707;11430;5930;41614
Республика Башкортостан – Благовещенский;518894;506806;0;349834;51466;105506;51123;349555;4871;395807;0;0;5639;8444;11569;13575;18938;256876;23653;53807;3306
Республика Башкортостан – Белорецкий;533297;503165;0;338320;49410;115433;49407;337173;4255;382325;2;0;228980;7226;48746;5363;7163;7988;10235;9181;45276;4485;7682
Республика Башкортостан – Нефтекамский;473980;451925;0;320129;36568;95228;36568;320066;5145;351489;0;0;66535;13784;5634;4508;52744;4788;10996;9128;6291;166107;10974
Республика Башкортостан – Салаватский;464406;461268;0;309985;36839;114444;36838;309520;5268;341090;0;0;12182;223393;10781;11653;5400;3348;14904;46187;13242
Республика Башкортостан – Стерлитамакский;502740;477556;0;273091;33542;170890;33541;272795;5338;300998;33;0;10330;164753;42880;12312;14903;11281;3529;41010
Республика Бурятия – Бурятский;695619;607545;3992;271031;34577;297945;38497;270807;10283;299021;0;0;22692;13060;19628;17338;115716;7234;23081;3278;15565;61429
Республика Дагестан – Северный;513028;483562;100;422819;12304;48307;12404;422567;3260;431711;32;0;25136;369167;7927;2351;2648;15139;2286;3843;3214
Республика Дагестан – Центральный;595240;577530;0;493593;13773;70134;13743;493301;3353;503691;38;8;6125;14065;406624;22809;7797;7053;29744;3355;6119
Республика Дагестан – Южный;587791;580019;0;470603;18316;91089;18273;470152;5403;483022;81;70;5599;7608;6161;5989;4691;358063;21959;70369;2583
Республика Ингушетия – Ингушский;234660;214556;0;189291;6728;18537;6728;189199;1669;194258;0;0;8347;12820;19572;12479;141040
Кабардино-Балкарская Республика – Кабардино-Балкарский;539787;535401;0;338955;122114;74332;122113;338251;598;459766;0;0;1562;16682;5395;51450;63563;321114
Республика Калмыкия – Калмыцкий;196819;190597;0;84415;13678;92506;13675;84276;4413;93538;0;2;4035;39717;4762;3335;1953;6740;2028;1053;21835;8080
Карачаево-Черкесская Республика – Карачаево-Черкесский;300060;287990;0;182781;85379;19830;85377;182590;1089;266878;0;0;1359;1960;28917;3352;6108;10948;3602;210632
Республика Карелия – Карельский;509700;461103;595;189971;10991;259534;11513;189592;11265;189840;14;2;7951;2105;10122;10555;55677;8956;29751;25858;26368;12497
Республика Коми – Сыктывкарский;642561;573127;3487;230326;17916;321399;21372;230207;13107;238472;1;2;9105;81407;21186;16926;67531;23257;19060
Республика Марий Эл – Марийский;531199;503387;0;217807;26192;259382;26189;217733;10602;233320;6;0;2336;18463;8165;16740;122851;41961;7838;1498;4966;8502
Республика Мордовия – Мордовский;590528;479611;0;311006;72565;96048;72543;310515;10085;372973;16;24;15699;24137;15312;51526;220015;13049;33235
Республика Саха (Якутия) – Якутский;644805;597275;3022;289913;27392;276948;30409;289818;9732;310495;0;0;69215;20067;8611;5259;49703;18322;12446;62597;64275
Республика Северная Осетия – Алания – Северо-Осетинский;520526;498501;0;325347;123693;49454;123633;324791;8080;440344;7;0;24725;7692;23915;14396;17733;11039;340844
Республика Татарстан (Татарстан) – Приволжский;489494;468787;0;327060;46303;95424;46303;326695;3883;369115;0;0;13300;232177;20539;10229;8354;18168;41216;16668;8464
Республика Татарстан (Татарстан) – Московский;517724;512891;0;340840;75629;96422;75629;340660;4657;411632;0;0;20493;295275;17066;8300;10194;15917;36221;8166
Республика Татарстан (Татарстан) – Нижнекамский;432734;439019;285;323168;57720;57846;58005;323036;4011;377030;0;0;14183;25229;10040;276061;21552;11375;9373;9217
Республика Татарстан (Татарстан) – Набережно-Челнинский;518201;492363;0;323185;101802;67376;101802;323046;4846;420002;0;0;8242;10176;20869;51844;285818;15062;12064;15927
Республика Татарстан (Татарстан) – Альметьевский;422044;431852;27;299564;61661;70597;61686;299521;3324;357883;3;0;6194;13513;9155;13317;5952;41483;5517;10727;252025
Республика Татарстан (Татарстан) – Центральный;543408;508758;0;322794;21262;164702;21262;322076;4468;338870;0;0;23445;11177;8040;9646;7359;12390;195454;51785;12875;6699
Республика Тыва – Тывинский;197099;184130;9759;114872;39688;19788;49252;114574;3467;160359;23;0;5240;14717;2983;121936;1960;6898;6625
