name;Число избирателей, внесенных в список избирателей на момент окончания голосования;Число избирательных бюллетеней, полученных участковой избирательной комиссией;Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно;Число избирательных бюллетеней, выданных в помещении для голосования в день голосования;Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования;Число погашенных избирательных бюллетеней;Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования;Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования;Число недействительных избирательных бюллетеней;Число действительных избирательных бюллетеней;Число открепительных удостоверений, полученных участковой избирательной комиссией;Число открепительных удостоверений, выданных на избирательном участке до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке;Число погашенных неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией;Число утраченных открепительных удостоверений;Число утраченных избирательных бюллетеней;Число избирательных бюллетеней, не учтенных при получении;Бриних Валерий Александрович;Гукасян Сергей Георгиевич;Коновалова Нина Николаевна;Лобода Александр Павлович;Огиенко Денис Сергеевич;Резник Владислав Матусович;Салов Евгений Иванович
Омская область – Москаленский;536289;516444;0;188705;7808;319931;7808;188461;12984;183285;10423;4090;2132;6333;407;0;0;0;4647;27735;28947;20466;4621;9021;87848
Республика Башкортостан – Нефтекамский;486329;476813;0;319025;13710;144078;13710;318886;5354;327242;7222;5683;1147;1539;1016;0;0;0;31040;72422;23830;23312;12303;18011;146324
Республика Дагестан – Южный;571269;556485;0;480321;5884;70271;5876;480257;6177;479956;3606;53;172;3553;66;0;9;0;1728;978;2714;1504;915;3035;334008;1725;130623;1500;1226
Чувашская Республика – Чувашия – Чебоксарский;463583;433382;0;249508;18895;165010;18895;249369;13737;254527;10502;7672;3480;2830;2384;0;7;38;4548;20430;3497;3439;4099;5204;7567;4938;32153;3257;125456;8058;31881
Костромская область – Костромской;541786;477342;0;196105;15847;265390;15846;196003;5984;205865;9129;2915;1674;6214;725;0;0;0;2822;51746;12139;16483;3466;3868;80762;13702;20877
Московская область – Красногорский;550568;441023;0;193060;9115;238832;9112;192634;10701;191045;9323;5199;4324;4124;2115;0;20;4;9141;12182;7946;6545;8598;9490;30344;23959;5417;77423
Омская область – Любинский;500217;488256;0;198008;17126;273122;17125;197897;8445;206577;11132;3864;1872;7268;615;0;0;0;3405;92684;50396;2430;3519;13709;24451;3413;10076;2494
Республика Башкортостан – Салаватский;480473;478320;0;298071;17250;162997;17250;297786;6004;309032;5920;4620;1561;1300;879;0;2;0;17129;174345;4542;43405;3571;2995;6575;5091;51379
Вологодская область – Вологодский;505549;458801;0;187364;18037;253400;18036;187203;8411;196828;11901;5304;3283;6597;890;0;0;0;33941;11812;7770;4960;6724;10421;25970;28872;66358
Московская область – Орехово-Зуевский;461065;451479;0;157733;7647;286095;7633;157463;11571;153525;7476;5174;3644;2302;2083;0;4;0;23238;6647;6159;65246;6223;5023;4914;17507;18568
Республика Башкортостан - Стерлитамакский;516185;488138;0;372872;21524;93742;21524;372647;2379;391792;4657;3140;839;1517;568;0;0;0;18572;16273;14565;188614;95266;10426;48076
Архангельская область – Котласский;473330;432316;1663;164215;10167;256271;11805;163907;5803;169909;6323;2982;1740;3341;1233;0;0;0;20865;4558;1801;18581;76004;2705;5260;40135
Республика Дагестан – Центральный;576291;558659;0;516656;1749;40254;1739;516293;2466;515566;2086;116;122;1970;362;0;0;0;8450;2504;27213;8667;4525;3876;460331
Республика Ингушетия – Ингушский;219170;208620;373;176572;1278;30397;1651;176572;1010;177213;1596;113;98;1483;34;0;0;0;5037;2756;4331;179;6872;9011;18070;125921;5036
Кабардино-Балкарская Республика – Кабардино-Балкарский;536867;532133;0;472802;9943;49388;9943;472071;60;481954;2217;1301;444;916;439;0;0;0;661;90628;325;76431;496;526;71261;241626
Республика Тыва – Тывинский;156981;178795;5669;124655;11003;37467;16634;124071;2622;138083;1827;1512;904;315;850;0;1;0;8949;2624;3117;108896;4189;4587;5721
Чувашская Республика – Чувашия – Канашский;471493;442166;0;264983;18509;158673;18509;264652;22008;261153;13189;8988;2991;4201;2930;0;2;1;84920;38603;60580;12049;11095;4099;9974;5634;24527;9672
Калужская область – Калужский;389962;398580;0;147956;13295;237329;13295;147762;5795;155262;12750;7894;2392;4856;1296;0;0;0;75154;2746;12966;7284;6096;18122;5317;27577
Республика Калмыкия – Калмыцкий;211355;203504;0;115609;5796;82099;5796;115577;2454;118919;5768;4757;3623;1011;1187;0;0;0;4841;11565;4312;1476;1054;2320;7799;6553;1358;77641
Архангельская область – Архангельский;459261;463498;718;151303;7925;303552;8643;151156;5269;154530;6108;2805;1691;3303;454;0;0;0;4645;38742;1958;22576;20709;2543;4535;3797;55025
Карачаево-Черкесская Республика – Карачаево-Черкесский;306269;301608;21;281878;3889;15795;3910;281874;588;285196;650;84;9;566;118;0;25;0;5977;8266;151556;19670;7982;4277;8830;71517;7121
Республика Карелия – Карельский;537921;484784;161;204372;8145;272096;8305;204071;11679;200697;11674;2396;1877;9278;697;0;11;1;3883;4996;21776;24369;18983;2338;37118;77653;4572;5009
Иркутская область – Ангарский;468490;433289;180;149145;5919;278045;6099;149112;5314;149897;10204;3672;1894;6532;312;0;0;0;25918;3752;3007;2171;9793;80306;12717;3629;6386;1419;799
Кемеровская область – Прокопьевский;507306;500585;119;436061;18601;45804;18699;435249;3872;450076;9076;5861;2144;3215;271;0;0;0;9527;7051;350790;27416;32786;22506
Республика Коми – Сыктывкарский;689125;572161;3916;264247;12010;291988;15924;263910;19845;259989;17048;8027;4868;9021;1657;0;0;0;26820;103296;36463;49496;43914
Иркутская область – Иркутский;470649;475417;26;167707;8687;298997;8713;167192;8297;167608;14273;4806;2244;9467;450;0;0;0;3878;13800;3972;16616;3061;2441;3816;53473;4235;60604;1712
Республика Марий Эл – Марийский;541540;501427;0;263709;25120;212598;25114;263516;5870;282760;17726;14765;7902;2961;1778;0;0;0;9284;2673;2061;12145;133447;1533;2603;10162;1740;107112
Республика Татарстан (Татарстан) – Альметьевский;438245;461263;0;375730;12025;73508;12024;375665;2408;385281;9019;5345;1690;3674;348;0;0;0;29121;12563;9881;10306;10635;307016;5759
Новосибирская область – Центральный;534767;507603;0;173821;9231;324549;9232;173715;9795;173152;11224;5476;3134;5748;514;0;2;0;6712;3712;66134;10745;7096;38773;1958;32864;5158
Республика Саха (Якутия) – Якутский;629172;586389;4365;279319;15121;287584;19484;279105;14060;284529;11706;8193;6806;3513;3868;0;0;0;46177;11097;8800;11719;20303;61048;13366;112019
Республика Северная Осетия – Алания – Северо-Осетинский;527934;504307;194;440176;12225;51355;12417;440004;3850;448571;11817;5742;5467;6075;5620;0;357;0;9560;4954;31007;9179;10221;374194;4652;4804
Республика Татарстан (Татарстан) – Приволжский;478412;466866;0;341144;10522;115200;10516;340827;3273;348070;10188;7595;2265;2593;743;0;0;0;31099;11042;13397;9960;8746;25277;248549
Брянская область – Унечский;510190;481834;0;238545;25001;218288;25001;238410;5667;257744;3100;2264;1267;836;1311;0;0;0;32745;3763;2795;26007;5080;10156;19073;158125
Республика Татарстан (Татарстан) – Московский;515436;512282;0;403702;13678;94902;13668;403562;3516;413714;11401;6955;2468;4446;666;0;0;0;311863;8710;15816;6108;49286;16324;5607
Мурманская область – Мурманский;624154;555041;1926;240761;3564;308785;5488;240344;12134;233698;5217;2353;2324;2864;4073;0;7;2;38052;108555;7431;4383;26415;10804;6781;31277
Нижегородская область – Канавинский;542242;478558;0;188961;15709;273885;15704;188034;9936;193802;7861;3487;2260;4374;395;0;18;15;9426;14618;113127;4374;3237;28844;4340;15836
Нижегородская область – Борский;529606;511639;0;205915;43914;261805;43909;205714;7791;241832;9318;6173;2806;3145;603;0;6;1;6292;3569;148499;10444;4823;27920;26904;5405;7976
Республика Татарстан (Татарстан) – Нижнекамский;449713;469376;271;401362;8775;58968;9038;401292;1753;408577;9077;5154;1663;3923;653;0;0;0;8054;12799;4805;5213;4630;353675;19401
Вологодская область – Череповецкий;450297;428699;0;169362;13768;245569;13766;169106;6640;176232;10272;5146;3349;5126;1073;0;0;0;21023;5091;4755;24867;78446;3909;26401;3489;4327;3924
Воронежская область – Аннинский;480081;464236;0;197914;36969;229353;36968;197820;7752;227036;7504;6619;3179;885;1822;0;0;0;9941;21053;7998;105531;3545;2802;52142;4551;15345;4128
Московская область – Дмитровский;514698;404323;0;189393;8827;206103;8827;188184;7880;189131;9454;3585;2309;5869;1904;0;0;0;22980;13585;3942;2915;17280;12673;10744;89139;6972;8901
Республика Татарстан (Татарстан) – Набережно-Челнинский;479527;470492;0;404758;10984;54750;10984;404638;2364;413258;9289;7568;1883;1721;435;0;0;0;13795;12129;15532;40030;316091;7240;8441
Амурская область – Амурский;638277;553727;1694;252042;15812;284179;17502;251646;17221;251927;11475;4659;3394;6816;966;0;0;0;123762;12411;18335;26894;13013;46571;10941
Воронежская область – Павловский;454157;474781;52;247474;68556;158699;68608;247465;4886;311187;9776;7951;1152;1825;769;0;0;0;39142;17479;5283;198149;2484;2187;16153;19148;11162
Республика Татарстан (Татарстан) – Центральный;520743;490165;0;274634;7854;207677;7854;274012;4248;277618;12005;8008;3055;3997;485;0;0;0;17336;15108;9305;9037;180244;30597;15991
Удмуртская Республика – Удмуртский;565575;531348;0;245080;9442;276824;9442;244882;9047;245277;11222;6440;2973;4782;391;0;3;1;3755;6609;110562;3370;38192;46413;20919;15457
Волгоградская область – Красноармейский;487386;461636;0;172488;17203;271943;17202;172430;7197;182435;6866;4103;3409;2763;1052;0;2;0;7131;23741;19301;25906;2729;19313;84314
Республика Хакасия – Хакасский;395855;362492;329;145258;10030;206875;10347;144985;6006;149326;8806;5319;3273;3487;1090;0;0;0;17622;4279;11582;52583;14167;49093
Чеченская Республика – Чеченский;675346;675900;0;636795;3378;35727;3378;636795;381;639792;3871;1031;223;2840;908;0;0;0;19097;596915;15089;5657;3034
Алтайский край – Барнаульский;457770;419428;208;173787;12751;232682;12949;173631;7690;178890;5526;3329;2593;2197;455;0;0;0;68246;24950;5498;21700;29847;2949;25700
Краснодарский край – Сочинский;471921;456837;122;199313;24480;232922;24601;198755;5736;217620;8010;4563;4844;3447;1578;0;0;0;8875;27242;138232;4495;8014;15648;7551;3426;4137
Нижегородская область – Приокский;534515;477416;0;244904;27700;204812;27532;243868;8806;262594;7689;4202;2592;3487;777;0;0;0;21490;19786;2433;5822;3104;172119;3468;21251;4376;8745
Алтайский край – Бийский;496032;442235;2;175920;11321;254992;11285;175765;8832;178218;5720;3099;2052;2621;569;0;0;0;14735;5388;4188;3534;26607;68360;26696;26161;2549
Нижегородская область – Нижегородский;506810;486402;2441;182134;22071;279743;24492;181885;8577;197800;7784;3993;2880;3791;552;0;14;1;41404;28878;6824;4072;15127;87475;7068;6952
Алтайский край – Славгородский;451992;426381;5285;178407;11758;230931;17003;178281;7736;187548;4814;2834;1683;1980;389;0;0;0;4222;27026;3430;5011;78168;23971;39745;5975
Красноярский край – Дивногорский;575960;544106;542;210127;11130;322307;11669;209743;12747;208665;13479;3765;2967;9714;455;0;0;0;4945;10776;90661;13608;38318;5741;19281;21818;3517
Ивановская область – Кинешемский;423398;336384;128;131635;22181;182440;22304;131551;4982;148873;7365;5671;2830;1694;1195;0;0;0;5878;21963;1546;38299;6427;5817;12277;56666
Нижегородская область – Автозаводский;565565;531371;0;211361;23845;296161;23843;211208;11025;224026;8524;4615;3692;3909;460;0;4;0;9871;4364;4968;118572;2101;4928;22132;30877;3403;4817;17993
Краснодарский край – Славянский;478535;461523;142;208034;24736;228611;24856;207807;5832;226831;5004;3368;2263;1636;495;0;0;0;20141;147970;4810;2648;1740;6654;19188;2566;2772;18342
Краснодарский край – Каневской;508815;496459;0;228969;32512;234728;32510;228854;6431;254933;5626;4669;2404;957;731;0;250;0;9943;152823;23318;8433;3242;16328;25919;4981;9946
